PubMed ID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in ,2025,"Zuo Z, Lin L, Li H, Wang T, Xia G, Wang C","State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, , State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, , State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, , State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, , State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, , State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, ",Not Available
40066446,Exercise boost after surgery improves survival in model of metastatic breast ,2025,"Stagaard R, Schauer T, Oria VO, Zornhagen KW, Albrechtsen R, Christensen JF","Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), , Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), , Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), , Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), , Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), , Biotech Research and Innovation Center (BRIC), University of Copenhagen (UCPH), ",Not Available
40066442,A comprehensive prognostic and immunological implications of Gremlin 1 in lung ,2025,Xiao J,"Institute of Disinfection and Infection Control, Heilongjiang Provincial Center ",Not Available
40066440,In-depth analysis of the safety of CAR-T cell therapy for solid tumors.,2025,"Jin Y, Su T, Chen S","Guangdong Provincial Engineering Research Center for Precision Medicine in , School of Clinical Medicine, Guangdong Pharmaceutical University, Guangzhou, , Guangdong Provincial Engineering Research Center for Precision Medicine in ",Not Available
40066333,Cepharanthine hydrochloride: a novel ferroptosis-inducing agent for prostate ,2025,"Guan JS, Jia J, Zhou YQ, Zheng JJ, Lin QM, Fan JL, Wang Y","Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South , Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South , Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South , Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South , Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South , Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South , Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South ",Not Available
40066322,Biomimetic Self-Oxygenated Immunoliposome for Cancer-Targeted Photodynamic ,2025,"Tang Y, Tang T, Li Y, Wu J, Liu X, Xiang D, Hu X","Department of Pharmacy, The Second Xiangya Hospital, Central South University, , Hunan Provincial Engineering Research Center of Translational Medicine and , Institute of Clinical Pharmacy, Central South University, Changsha, 410011, , Department of Pharmacy, The Second Xiangya Hospital, Central South University, , Hunan Provincial Engineering Research Center of Translational Medicine and , Institute of Clinical Pharmacy, Central South University, Changsha, 410011, , Department of Pharmacy, The Second Xiangya Hospital, Central South University, ",Not Available
40066226,Depletion of Acetyl-CoA Carboxylase 1 Facilitates Epithelial-Mesenchymal ,2025,"Lai J, Liu S, Chen Y, Chen J, Liang Z, Mei X, Feng Y, Liu J, He H, Zhong W","Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of , Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of , Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of , Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of , Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of , Guangzhou National Laboratory Guangzhou Guangdong Province China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of , Department of Integrative Biology and Pharmacology McGovern Medical School , Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of , Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of ",Not Available
40066115,Melatonin Aids in Treating Mood and Sleep Problems Resulting from Hormonal ,2024,"Vaziri N, Shakourifar M, Sattari P, Moghaddas A","Department of Clinical Pharmacy and Pharmacy Practice, School of Pharmacy and , Department of Clinical Pharmacy and Pharmacy Practice, School of Pharmacy and , Department of Clinical Pharmacy and Pharmacy Practice, School of Pharmacy and , Department of Clinical Pharmacy and Pharmacy Practice, Faculty of Pharmacy, ",Not Available
40066114,Malleatin A and B: New Premyrsine-Type Diterpenes from Euphorbia malleata with ,2024,"Zolfaghari B, Akbari F, Esmaeili S, Aghaei M, Mosaffa F, Ghorbanhosseini SS","Department of Pharmaceutics, Novel Drug Delivery Systems Research Centre, School , Isfahan Pharmaceutical Sciences Research center, Isfahan University of Medical , Department of Pharmaceutics, Novel Drug Delivery Systems Research Centre, School , Department of Clinical Biochemistry, School of Pharmacy and Pharmaceutical , Biotechnology Research Center, Pharmaceutical Technology Institute, Mashhad , Department of Clinical Biochemistry, School of Pharmacy and Pharmaceutical ",Not Available
40066113,Evaluation of Oral Nano-Silymarin Formulation Efficacy in the Prevention of ,2024,"Karbasforooshan H, Arasteh O, Ghavami V, Elyasi S","Department of Clinical Pharmacy, School of Pharmacy, Mashhad University of , Department of Clinical Pharmacy, School of Pharmacy, Mashhad University of , Department of Clinical Pharmacy, School of Pharmacy, Mashhad University of , Nanotechnology Research Center, Pharmaceutical Technology Institute, Mashhad ",Not Available
